File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
0.86,0.69,-0.32,31.2,1.772
0.83,0.64,-0.31,31.4,1.772
0.75,0.63,-0.3,31.6,1.772
0.63,0.73,-0.29,31.6,1.768
0.55,0.57,-0.25,31.6,1.768
0.52,0.5,-0.42,31.6,1.768
0.66,1.19,-0.21,31.6,1.768
0.56,0.7,-0.3,31.6,1.757
0.58,0.45,-0.44,31.6,1.753
0.67,0.53,-0.13,31.6,1.729
0.65,0.82,0,31.6,1.614
0.62,0.71,-0.53,31.2,1.358
0.67,0.57,0,31.2,1.108
0.62,0.5,0,31.2,1.02
0.63,0.62,-0.26,31.2,1.259
0.5,0.49,-0.44,31.2,1.48
0.5,0.28,-0.32,31.2,1.501
0.67,0.55,-0.41,31.2,1.417
0.47,0.56,-0.08,31.2,1.436
0.5,0.53,-0.65,31.2,1.498
0.44,0.59,-0.77,31.2,1.601
0.5,0.5,-0.57,31.2,1.686
0.49,0.45,-0.5,31.2,1.683
0.53,0.5,-0.51,31.2,1.545
0.49,0.5,-0.47,31.4,1.034
0.44,0.59,-0.31,31.2,1.213
0.42,0.76,-0.57,31.2,1.423
0.4,0.44,-0.61,31.2,1.543
0.58,0.4,-0.37,31.2,1.618
0.59,0.5,-0.15,31.2,1.704
0.5,0.48,-0.36,31.2,1.776
0.43,0.66,-0.48,31.2,1.801
0.4,0.44,-0.7,31.2,1.816
0.48,0.52,-0.52,31.2,1.808
0.62,0.58,-0.35,31.2,1.768
0.57,0.41,-0.07,31.2,1.696
0.44,0.53,-0.5,31.2,1.686
0.28,0.42,-1.02,31.2,1.659
0.58,0.57,-0.42,31.2,1.704
0.65,0.37,-0.36,31.2,1.764
0.64,0.41,0.19,31.2,1.835
0.41,0.43,-0.14,31.2,1.892
0.29,0.18,-0.49,31.2,1.919
0.09,0.56,-1.08,31.2,1.939
