File Exported by Q - (c) 2009 Affectiva Inc.,,,,
File Version: 1.01,,,,
Firmware Version: 1.81,,,,
UUID: AQL1113206T,,,,
Sampling Rate: 16,,,,
Start Time: 2020-02-27 14:01:27 Offset:-05,,,,
Z-axis,Y-axis,X-axis,Temperature Celsius,EDA(uS)
-0.23,1,0.17,31.6,2.577
-0.23,1,0.17,31.6,2.544
-0.22,1,0.18,31.6,2.56
-0.22,1,0.18,31.6,2.56
-0.23,1,0.17,31.6,2.56
-0.23,1,0.18,31.6,2.544
-0.23,1,0.19,31.6,2.544
-0.22,1,0.18,31.6,2.544
-0.22,1,0.18,31.6,2.544
-0.23,1,0.18,31.6,2.544
-0.22,1,0.19,31.6,2.56
-0.22,1,0.18,31.6,2.56
-0.23,1,0.18,31.6,2.544
-0.23,1,0.19,31.6,2.544
-0.22,1,0.19,31.6,2.544
-0.22,1,0.18,31.6,2.556
-0.23,1,0.17,31.6,2.544
-0.23,1,0.18,31.6,2.56
-0.23,1,0.18,31.6,2.556
-0.22,1,0.18,31.6,2.544
-0.23,1,0.19,31.6,2.544
-0.22,1,0.17,31.6,2.544
-0.23,1,0.18,31.6,2.544
-0.23,1,0.18,31.6,2.544
-0.24,1.02,0.19,31.6,2.556
-0.24,1.06,0.28,31.6,2.539
-0.24,1.22,0.19,31.6,2.544
-0.13,1.13,0.28,31.6,2.544
-0.03,1.41,0.2,31.6,2.548
0.04,1.16,0.18,31.6,2.56
0.22,1.11,0.18,31.6,2.56
0.22,0.91,0.19,31.6,2.565
0.33,0.66,0.3,31.6,2.56
0.54,0.4,0.41,31.6,2.565
0.59,0.44,0.43,31.6,2.565
0.65,0.43,0.47,31.6,2.577
0.72,0.53,0.38,31.6,2.577
0.74,0.53,0.51,31.6,2.565
0.75,0.59,0.45,31.6,2.565
0.74,0.5,0.46,31.6,2.565
0.73,0.57,0.5,31.6,2.56
0.76,0.73,0.33,31.6,2.565
0.73,0.5,0.5,31.6,2.565
0.76,0.59,0.46,31.6,2.565
0.75,0.51,0.47,31.6,2.565
0.77,0.55,0.46,31.6,2.56
0.73,0.6,0.47,31.6,2.565
0.72,0.65,0.51,31.6,2.565
0.72,0.62,0.46,31.6,2.565
0.71,0.52,0.44,31.6,2.56
0.73,0.47,0.46,31.6,2.565
0.63,0.41,0.53,31.6,2.56
0.6,0.44,0.51,31.6,2.565
0.48,0.64,0.37,31.6,2.56
0.33,0.65,0.37,31.6,2.565
0.4,0.5,0.57,31.6,2.565
0.15,1.5,0,31.6,2.565
-0.12,1.2,0.27,31.6,2.565
-0.04,0.84,0.61,31.6,2.565
-0.25,1.06,0.42,31.6,2.565
-0.19,1.66,0.41,31.6,2.565
-0.25,1.04,0.31,31.8,2.565
-0.21,0.88,0.31,31.6,2.565
-0.22,1.03,0.36,31.6,2.577
-0.23,1,0.32,31.6,2.565
-0.23,0.98,0.3,31.6,2.565
-0.23,1,0.3,31.6,2.565
-0.24,0.99,0.3,31.6,2.565
-0.23,1,0.3,31.6,2.565
-0.23,0.98,0.3,31.6,2.565
-0.23,1,0.29,31.6,2.565
-0.24,0.99,0.29,31.6,2.582
-0.23,0.99,0.3,31.6,2.582
-0.23,0.99,0.3,31.6,2.565
-0.23,0.99,0.29,31.6,2.582
-0.23,0.99,0.29,31.6,2.582
-0.23,0.99,0.28,31.6,2.582
-0.23,1,0.29,31.6,2.582
-0.24,0.99,0.29,31.6,2.594
-0.24,0.99,0.28,31.6,2.582
-0.23,1,0.29,31.6,2.582
-0.24,0.99,0.28,31.6,2.582
-0.22,0.99,0.27,31.6,2.582
-0.23,1,0.29,31.6,2.582
-0.24,0.99,0.28,31.6,2.594
-0.22,1,0.29,31.6,2.594
-0.23,1,0.28,31.6,2.577
-0.24,0.99,0.28,31.6,2.582
-0.22,1,0.29,31.6,2.582
-0.22,0.99,0.27,31.6,2.565
-0.24,0.99,0.28,31.6,2.582
-0.23,1,0.29,31.6,2.582
-0.23,0.99,0.28,31.6,2.565
-0.24,1,0.29,31.6,2.565
-0.23,0.99,0.29,31.6,2.582
-0.23,1,0.28,31.6,2.594
-0.22,0.99,0.27,31.6,2.582
-0.23,0.99,0.24,31.6,2.565
-0.24,1,0.24,31.8,2.582
-0.22,0.98,0.27,31.6,2.582
-0.24,1,0.24,31.6,2.565
-0.24,1,0.21,31.6,2.582
-0.22,1,0.22,31.6,2.582
-0.22,1,0.24,31.6,2.582
-0.22,1,0.22,31.6,2.582
-0.24,1,0.23,31.6,2.565
-0.24,1,0.22,31.6,2.577
-0.23,1,0.23,31.6,2.565
-0.22,1,0.22,31.6,2.565
-0.22,1,0.23,31.6,2.565
-0.22,1,0.23,31.6,2.565
-0.23,1,0.24,31.6,2.565
-0.22,1,0.23,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.23,31.6,2.565
-0.22,1,0.23,31.6,2.565
-0.22,1,0.23,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.577
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.548
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.565
-0.22,1,0.23,31.6,2.577
-0.22,1,0.24,31.6,2.565
-0.22,1,0.23,31.6,2.56
-0.22,1,0.24,31.6,2.56
-0.22,1,0.24,31.6,2.565
-0.22,1,0.24,31.6,2.56
-0.22,1,0.24,31.6,2.544
-0.22,1,0.23,31.6,2.544
-0.22,1,0.24,31.6,2.544
-0.22,1,0.24,31.6,2.544
-0.22,1,0.24,31.6,2.544
